order_id,date,customer_id,category,subcategory,price,size,color,returned,rating,payment_method,margin,day_of_week,day_of_month
ORDER_0044,2022-01-12,CUST_0001,Calças,Moletom,163.24,P,Branco,False,5,Boleto,73.46,2,12
ORDER_0045,2022-01-13,CUST_0484,Calças,Jeans,142.11,GG,Branco,False,5,PIX,68.21,3,13
ORDER_0046,2022-01-14,CUST_0153,Acessórios,Cintos,56.22,Único,Marrom,False,3,Debit Card,28.11,4,14
ORDER_0047,2022-01-14,CUST_0429,Saias,Longa,169.07,M,Azul,False,4,Boleto,87.92,4,14
ORDER_0048,2022-01-14,CUST_0433,Blusas,Moletom,138.93,G,Azul,False,5,PIX,62.52,4,14
ORDER_0049,2022-01-15,CUST_0126,Blusas,T-shirt,86.21,GG,Preto,False,3,PIX,30.17,5,15
ORDER_0050,2022-01-15,CUST_0491,Calças,Jeans,221.16,G,Azul,False,3,PIX,88.46,5,15
ORDER_0051,2022-01-15,CUST_0482,Blusas,Moletom,165.62,GG,Rosa,True,1,PIX,62.11,5,15
ORDER_0052,2022-01-15,CUST_0345,Calças,Social,193.58,G,Azul,False,5,Credit Card,83.89,5,15
ORDER_0053,2022-01-15,CUST_0400,Acessórios,Bijuterias,85.31,Único,Prata,False,4,Credit Card,42.65,5,15
ORDER_0054,2022-01-16,CUST_0226,Blusas,T-shirt,81.58,G,Branco,False,2,PIX,28.55,6,16
ORDER_0055,2022-01-16,CUST_0221,Vestidos,Festa,489.02,G,Vermelho,False,3,Credit Card,224.14,6,16
ORDER_0056,2022-01-16,CUST_0403,Acessórios,Cintos,114.01,Único,Prata,False,5,PIX,47.51,6,16
ORDER_0057,2022-01-17,CUST_0407,Vestidos,Festa,336.77,M,Vermelho,False,5,PIX,185.22,0,17
ORDER_0058,2022-01-17,CUST_0211,Blusas,Social,178.31,GG,Rosa,False,5,PIX,85.59,0,17
ORDER_0059,2022-01-17,CUST_0025,Calças,Moletom,109.74,G,Preto,False,5,Boleto,49.38,0,17
ORDER_0060,2022-01-17,CUST_0016,Calças,Moletom,93.69,GG,Preto,False,5,PIX,42.16,0,17
ORDER_0061,2022-01-17,CUST_0182,Blusas,T-shirt,56.02,G,Rosa,False,4,Boleto,23.53,0,17
ORDER_0062,2022-01-17,CUST_0499,Vestidos,Casual,188.07,P,Vermelho,True,2,Credit Card,84.63,0,17
ORDER_0063,2022-01-18,CUST_0329,Blusas,Moletom,168.37,M,Branco,False,3,Debit Card,75.77,1,18
ORDER_0064,2022-01-18,CUST_0129,Calças,Moletom,122.85,M,Branco,False,1,PIX,55.28,1,18
ORDER_0065,2022-01-19,CUST_0042,Saias,Midi,247.33,M,Rosa,False,1,Credit Card,123.67,2,19
ORDER_0066,2022-01-19,CUST_0403,Blusas,Social,167.83,M,Branco,False,5,Credit Card,80.56,2,19
ORDER_0067,2022-01-20,CUST_0481,Blusas,T-shirt,96.96,G,Azul,False,3,Boleto,40.72,3,20
ORDER_0068,2022-01-20,CUST_0418,Calças,Social,312.87,M,Azul,False,5,Credit Card,162.69,3,20
ORDER_0069,2022-01-20,CUST_0336,Vestidos,Praia,120.21,G,Preto,False,4,PIX,60.1,3,20
ORDER_0070,2022-01-21,CUST_0236,Calças,Jeans,131.12,M,Branco,False,4,Boleto,62.94,4,21
ORDER_0071,2022-01-21,CUST_0360,Acessórios,Bijuterias,93.54,Único,Prata,False,4,PIX,56.12,4,21
ORDER_0072,2022-01-21,CUST_0439,Blusas,T-shirt,113.57,P,Branco,False,5,Credit Card,47.7,4,21
ORDER_0073,2022-01-21,CUST_0402,Acessórios,Cintos,57.19,Único,Marrom,False,2,Credit Card,28.59,4,21
ORDER_0074,2022-01-22,CUST_0034,Saias,Longa,198.47,M,Preto,True,2,PIX,86.0,5,22
ORDER_0075,2022-01-22,CUST_0345,Vestidos,Casual,220.51,M,Vermelho,False,5,Credit Card,82.69,5,22
ORDER_0076,2022-01-22,CUST_0381,Calças,Social,195.5,M,Azul,False,5,PIX,84.72,5,22
ORDER_0077,2022-01-22,CUST_0045,Vestidos,Casual,139.0,P,Vermelho,False,2,Boleto,52.12,5,22
ORDER_0078,2022-01-22,CUST_0134,Blusas,Moletom,145.54,M,Preto,False,5,PIX,54.58,5,22
ORDER_0079,2022-01-23,CUST_0021,Vestidos,Casual,169.67,P,Rosa,False,4,Debit Card,63.63,6,23
ORDER_0080,2022-01-23,CUST_0122,Acessórios,Bijuterias,64.52,Único,Marrom,False,5,Boleto,32.26,6,23
ORDER_0081,2022-01-23,CUST_0070,Blusas,T-shirt,138.38,G,Rosa,False,5,Debit Card,48.43,6,23
ORDER_0082,2022-01-23,CUST_0352,Calças,Social,246.34,GG,Branco,False,3,Debit Card,106.75,6,23
ORDER_0083,2022-01-24,CUST_0361,Calças,Moletom,118.98,M,Preto,False,4,Boleto,53.54,0,24
ORDER_0084,2022-01-25,CUST_0048,Calças,Jeans,174.7,M,Branco,False,3,PIX,69.88,1,25
ORDER_0085,2022-01-25,CUST_0491,Vestidos,Praia,136.98,G,Rosa,False,3,PIX,57.08,1,25
ORDER_0086,2022-01-25,CUST_0039,Vestidos,Festa,507.18,M,Vermelho,False,5,PIX,232.46,1,25
ORDER_0087,2022-01-25,CUST_0287,Calças,Jeans,168.79,M,Preto,False,5,Boleto,67.52,1,25
ORDER_0088,2022-01-26,CUST_0490,Calças,Social,220.88,P,Preto,False,4,Credit Card,95.72,2,26
ORDER_0089,2022-01-26,CUST_0010,Saias,Midi,151.99,P,Vermelho,True,5,Boleto,63.33,2,26
ORDER_0090,2022-01-27,CUST_0030,Saias,Midi,190.69,G,Azul,False,3,Boleto,79.45,3,27
ORDER_0091,2022-01-27,CUST_0244,Calças,Social,333.37,GG,Preto,False,5,Boleto,144.46,3,27
ORDER_0092,2022-01-27,CUST_0274,Blusas,Social,230.34,G,Branco,False,2,Credit Card,92.14,3,27
ORDER_0093,2022-01-28,CUST_0444,Calças,Jeans,348.9,G,Branco,True,1,Credit Card,139.56,4,28
ORDER_0094,2022-01-28,CUST_0088,Vestidos,Casual,157.09,G,Rosa,False,4,Boleto,58.91,4,28
ORDER_0095,2022-01-28,CUST_0244,Vestidos,Praia,127.15,P,Vermelho,False,3,PIX,52.98,4,28
ORDER_0096,2022-01-28,CUST_0381,Blusas,Social,152.12,G,Branco,True,4,PIX,60.85,4,28
ORDER_0097,2022-01-28,CUST_0329,Blusas,Moletom,225.77,GG,Branco,False,5,PIX,84.66,4,28
ORDER_0098,2022-01-29,CUST_0479,Blusas,Social,357.06,P,Branco,True,2,Credit Card,119.02,5,29
ORDER_0099,2022-01-29,CUST_0015,Calças,Jeans,199.41,P,Branco,True,3,Credit Card,66.47,5,29
ORDER_0100,2022-01-29,CUST_0004,Acessórios,Bolsas,642.84,Único,Prata,False,4,Boleto,245.53,5,29
ORDER_0101,2022-01-29,CUST_0191,Blusas,Moletom,199.09,M,Azul,False,4,PIX,62.22,5,29
ORDER_0102,2022-01-29,CUST_0168,Saias,Midi,277.8,M,Azul,False,3,Credit Card,96.46,5,29
ORDER_0103,2022-01-29,CUST_0009,Blusas,Moletom,170.74,P,Branco,False,5,Credit Card,53.36,5,29
ORDER_0104,2022-01-31,CUST_0109,Calças,Moletom,175.73,M,Preto,False,4,PIX,65.9,0,31
ORDER_0105,2022-02-01,CUST_0137,Acessórios,Bijuterias,77.98,Único,Dourado,False,5,PIX,38.99,1,1
ORDER_0106,2022-02-02,CUST_0154,Blusas,Moletom,166.76,G,Rosa,False,4,PIX,62.54,2,2
ORDER_0107,2022-02-02,CUST_0388,Saias,Midi,170.28,M,Preto,False,2,Debit Card,70.95,2,2
ORDER_0108,2022-02-02,CUST_0209,Vestidos,Praia,97.4,M,Rosa,True,4,PIX,40.59,2,2
ORDER_0109,2022-02-03,CUST_0272,Acessórios,Cintos,116.64,Único,Marrom,False,5,Boleto,48.6,3,3
ORDER_0110,2022-02-03,CUST_0143,Blusas,Social,278.59,G,Azul,False,5,PIX,111.44,3,3
ORDER_0111,2022-02-03,CUST_0099,Saias,Mini,128.84,P,Azul,False,5,PIX,50.46,3,3
ORDER_0112,2022-02-04,CUST_0377,Acessórios,Bijuterias,70.61,Único,Dourado,False,2,Debit Card,35.3,4,4
ORDER_0113,2022-02-04,CUST_0308,Blusas,T-shirt,68.48,GG,Branco,False,4,PIX,23.97,4,4
ORDER_0114,2022-02-04,CUST_0069,Acessórios,Bijuterias,62.74,Único,Prata,False,4,PIX,31.37,4,4
ORDER_0115,2022-02-04,CUST_0247,Saias,Midi,192.48,G,Vermelho,True,3,Credit Card,80.2,4,4
ORDER_0116,2022-02-05,CUST_0261,Blusas,T-shirt,109.77,GG,Preto,False,5,Debit Card,32.02,5,5
ORDER_0117,2022-02-05,CUST_0276,Blusas,Social,197.87,M,Azul,False,4,Debit Card,65.96,5,5
ORDER_0118,2022-02-06,CUST_0079,Vestidos,Festa,471.14,P,Preto,False,3,Credit Card,215.94,6,6
ORDER_0119,2022-02-06,CUST_0146,Calças,Jeans,220.22,G,Preto,True,1,PIX,88.09,6,6
ORDER_0120,2022-02-06,CUST_0111,Blusas,Moletom,170.46,P,Azul,False,3,Debit Card,63.92,6,6
ORDER_0121,2022-02-06,CUST_0258,Calças,Moletom,177.56,G,Preto,False,4,Credit Card,66.59,6,6
ORDER_0122,2022-02-06,CUST_0093,Calças,Moletom,199.56,M,Azul,False,3,Credit Card,74.84,6,6
ORDER_0123,2022-02-07,CUST_0013,Vestidos,Praia,147.13,G,Azul,False,5,Debit Card,73.56,0,7
ORDER_0124,2022-02-07,CUST_0260,Calças,Jeans,169.49,P,Preto,False,4,PIX,81.36,0,7
ORDER_0125,2022-02-08,CUST_0426,Calças,Moletom,112.56,P,Preto,False,4,Boleto,50.65,1,8
ORDER_0126,2022-02-08,CUST_0109,Acessórios,Bijuterias,66.7,Único,Dourado,False,5,Boleto,40.02,1,8
ORDER_0127,2022-02-08,CUST_0330,Acessórios,Bolsas,185.95,Único,Dourado,True,1,PIX,102.27,1,8
ORDER_0128,2022-02-08,CUST_0189,Blusas,Moletom,199.08,G,Branco,False,4,PIX,89.59,1,8
ORDER_0129,2022-02-08,CUST_0095,Saias,Mini,149.24,M,Vermelho,False,4,Debit Card,70.14,1,8
ORDER_0130,2022-02-08,CUST_0105,Blusas,Social,177.15,GG,Preto,False,5,Credit Card,85.03,1,8
ORDER_0131,2022-02-08,CUST_0008,Acessórios,Cintos,70.59,Único,Preto,False,2,Debit Card,35.3,1,8
ORDER_0132,2022-02-08,CUST_0067,Acessórios,Bolsas,197.58,Único,Dourado,False,4,Boleto,108.67,1,8
ORDER_0133,2022-02-08,CUST_0496,Saias,Midi,184.14,M,Azul,False,4,Credit Card,92.07,1,8
ORDER_0134,2022-02-08,CUST_0191,Saias,Mini,93.31,M,Vermelho,False,5,Boleto,43.86,1,8
ORDER_0135,2022-02-09,CUST_0366,Blusas,Social,192.98,P,Branco,False,5,PIX,92.63,2,9
ORDER_0136,2022-02-09,CUST_0256,Saias,Longa,274.16,M,Azul,False,5,PIX,142.56,2,9
ORDER_0137,2022-02-09,CUST_0009,Calças,Moletom,114.73,G,Branco,False,2,PIX,51.63,2,9
ORDER_0138,2022-02-09,CUST_0478,Blusas,Social,199.91,M,Preto,False,5,PIX,95.96,2,9
ORDER_0139,2022-02-09,CUST_0117,Acessórios,Bijuterias,39.28,Único,Prata,False,5,Debit Card,23.57,2,9
ORDER_0140,2022-02-10,CUST_0267,Calças,Jeans,195.04,M,Preto,False,5,PIX,93.62,3,10
ORDER_0141,2022-02-10,CUST_0099,Saias,Mini,111.0,P,Vermelho,False,4,PIX,52.17,3,10
ORDER_0142,2022-02-10,CUST_0485,Saias,Longa,295.47,M,Vermelho,False,4,Debit Card,153.64,3,10
ORDER_0143,2022-02-10,CUST_0298,Saias,Mini,109.79,G,Preto,False,4,Boleto,51.6,3,10
ORDER_0144,2022-02-11,CUST_0397,Calças,Moletom,144.88,M,Preto,False,5,Boleto,65.2,4,11
ORDER_0145,2022-02-11,CUST_0164,Vestidos,Praia,136.43,P,Preto,False,5,Credit Card,68.22,4,11
ORDER_0146,2022-02-11,CUST_0376,Acessórios,Cintos,129.81,Único,Dourado,False,5,PIX,64.91,4,11
ORDER_0147,2022-02-11,CUST_0141,Calças,Jeans,156.37,M,Branco,False,5,PIX,75.06,4,11
ORDER_0148,2022-02-12,CUST_0268,Acessórios,Bolsas,200.82,Único,Dourado,False,4,Boleto,92.04,5,12
ORDER_0149,2022-02-12,CUST_0037,Calças,Moletom,207.91,P,Preto,False,3,PIX,77.97,5,12
ORDER_0150,2022-02-13,CUST_0074,Acessórios,Bijuterias,95.9,Único,Prata,False,5,Boleto,47.95,6,13
ORDER_0151,2022-02-15,CUST_0073,Calças,Moletom,178.97,GG,Azul,False,3,Debit Card,80.54,1,15
ORDER_0152,2022-02-15,CUST_0308,Calças,Jeans,212.13,P,Branco,False,5,Debit Card,101.82,1,15
ORDER_0153,2022-02-15,CUST_0199,Vestidos,Casual,121.05,M,Preto,False,5,Debit Card,54.47,1,15
ORDER_0154,2022-02-15,CUST_0130,Blusas,Social,165.21,P,Branco,False,5,PIX,79.3,1,15
ORDER_0155,2022-02-16,CUST_0246,Blusas,T-shirt,55.35,GG,Preto,False,3,Debit Card,23.25,2,16
ORDER_0156,2022-02-16,CUST_0312,Blusas,T-shirt,108.07,M,Rosa,False,4,Debit Card,45.39,2,16
ORDER_0157,2022-02-16,CUST_0060,Calças,Jeans,219.08,M,Branco,False,3,PIX,105.16,2,16
ORDER_0158,2022-02-16,CUST_0279,Blusas,T-shirt,76.11,GG,Rosa,True,1,Boleto,31.97,2,16
ORDER_0159,2022-02-16,CUST_0103,Blusas,T-shirt,69.17,GG,Azul,False,4,Credit Card,29.05,2,16
ORDER_0160,2022-02-16,CUST_0296,Vestidos,Festa,569.78,M,Rosa,False,5,Credit Card,313.38,2,16
ORDER_0161,2022-02-16,CUST_0320,Vestidos,Festa,529.46,P,Azul,False,4,Credit Card,291.2,2,16
ORDER_0162,2022-02-17,CUST_0487,Calças,Social,293.5,M,Branco,False,5,Credit Card,152.62,3,17
ORDER_0163,2022-02-17,CUST_0341,Saias,Longa,201.75,M,Azul,False,3,PIX,104.91,3,17
ORDER_0164,2022-02-18,CUST_0151,Blusas,Social,128.91,P,Azul,False,3,Debit Card,61.88,4,18
ORDER_0165,2022-02-18,CUST_0157,Saias,Longa,209.46,G,Rosa,False,3,PIX,108.92,4,18
ORDER_0166,2022-02-20,CUST_0206,Acessórios,Cintos,82.63,Único,Preto,False,2,Boleto,34.43,6,20
ORDER_0167,2022-02-20,CUST_0474,Calças,Social,219.17,P,Preto,False,2,PIX,94.97,6,20
ORDER_0168,2022-02-20,CUST_0179,Blusas,T-shirt,127.79,P,Azul,False,4,Credit Card,44.73,6,20
ORDER_0169,2022-02-20,CUST_0197,Acessórios,Cintos,155.0,Único,Marrom,False,5,Credit Card,64.58,6,20
ORDER_0170,2022-02-20,CUST_0223,Vestidos,Praia,119.88,P,Preto,False,4,PIX,49.95,6,20
ORDER_0171,2022-02-22,CUST_0089,Saias,Mini,117.52,P,Preto,False,1,Debit Card,55.23,1,22
ORDER_0172,2022-02-22,CUST_0287,Calças,Moletom,99.25,G,Preto,False,5,Boleto,44.66,1,22
ORDER_0173,2022-02-22,CUST_0434,Blusas,Social,205.94,M,Preto,False,4,Credit Card,98.85,1,22
ORDER_0174,2022-02-22,CUST_0276,Vestidos,Praia,90.5,M,Vermelho,False,5,PIX,45.25,1,22
ORDER_0175,2022-02-22,CUST_0236,Blusas,T-shirt,53.35,M,Preto,False,3,Credit Card,22.41,1,22
ORDER_0176,2022-02-23,CUST_0183,Vestidos,Festa,372.99,P,Azul,False,2,Boleto,205.14,2,23
ORDER_0177,2022-02-23,CUST_0209,Blusas,T-shirt,90.15,M,Preto,True,2,Boleto,37.86,2,23
ORDER_0178,2022-02-23,CUST_0493,Blusas,Social,185.62,P,Azul,False,4,Boleto,89.1,2,23
ORDER_0179,2022-02-23,CUST_0130,Vestidos,Praia,95.37,P,Vermelho,False,4,Boleto,47.69,2,23
ORDER_0180,2022-02-23,CUST_0153,Blusas,T-shirt,111.65,P,Rosa,False,4,Credit Card,46.89,2,23
ORDER_0181,2022-02-24,CUST_0013,Blusas,T-shirt,105.46,M,Azul,False,5,PIX,44.29,3,24
ORDER_0182,2022-02-24,CUST_0122,Acessórios,Bolsas,244.04,Único,Dourado,False,2,Boleto,134.22,3,24
ORDER_0183,2022-02-24,CUST_0359,Blusas,Social,183.28,P,Rosa,False,4,PIX,87.97,3,24
ORDER_0184,2022-02-25,CUST_0220,Acessórios,Cintos,96.08,Único,Dourado,False,5,PIX,40.03,4,25
ORDER_0185,2022-02-25,CUST_0106,Acessórios,Cintos,76.48,Único,Preto,False,4,Debit Card,31.86,4,25
ORDER_0186,2022-02-27,CUST_0375,Saias,Midi,318.36,M,Vermelho,False,4,Debit Card,110.54,6,27
ORDER_0187,2022-02-27,CUST_0070,Calças,Jeans,213.13,P,Branco,False,5,Debit Card,71.04,6,27
ORDER_0188,2022-02-27,CUST_0195,Vestidos,Casual,137.28,M,Rosa,False,4,PIX,42.9,6,27
ORDER_0189,2022-02-27,CUST_0186,Acessórios,Bolsas,549.71,Único,Marrom,False,4,Credit Card,209.96,6,27
ORDER_0190,2022-02-28,CUST_0099,Vestidos,Praia,96.42,P,Vermelho,False,3,Boleto,40.17,0,28
ORDER_0191,2022-02-28,CUST_0082,Acessórios,Bolsas,483.28,Único,Prata,False,5,Boleto,221.5,0,28
ORDER_0192,2022-02-28,CUST_0075,Calças,Social,205.55,GG,Preto,True,5,Credit Card,89.07,0,28
ORDER_0193,2022-02-28,CUST_0374,Acessórios,Bijuterias,99.36,Único,Prata,False,4,Debit Card,49.68,0,28
ORDER_0194,2022-03-01,CUST_0340,Vestidos,Praia,109.27,G,Preto,False,5,PIX,45.53,1,1
ORDER_0195,2022-03-02,CUST_0192,Saias,Midi,174.08,P,Vermelho,False,4,Boleto,72.53,2,2
ORDER_0196,2022-03-02,CUST_0325,Blusas,Moletom,228.89,P,Rosa,True,2,PIX,85.83,2,2
ORDER_0197,2022-03-02,CUST_0467,Calças,Moletom,142.12,M,Preto,False,5,Debit Card,53.29,2,2
ORDER_0198,2022-03-03,CUST_0214,Calças,Moletom,129.1,M,Preto,False,5,PIX,48.41,3,3
ORDER_0199,2022-03-03,CUST_0315,Vestidos,Casual,152.27,P,Rosa,False,3,Credit Card,57.1,3,3
ORDER_0200,2022-03-03,CUST_0444,Acessórios,Bolsas,468.08,Único,Preto,False,4,Boleto,214.54,3,3
ORDER_0201,2022-03-04,CUST_0467,Vestidos,Festa,397.12,M,Azul,False,5,PIX,182.01,4,4
ORDER_0202,2022-03-04,CUST_0382,Blusas,Moletom,165.23,G,Rosa,False,1,Debit Card,61.96,4,4
ORDER_0203,2022-03-04,CUST_0367,Blusas,Moletom,160.72,G,Azul,False,4,Credit Card,60.27,4,4
ORDER_0204,2022-03-04,CUST_0318,Calças,Jeans,319.32,P,Preto,False,2,Credit Card,127.73,4,4
ORDER_0205,2022-03-05,CUST_0144,Acessórios,Bolsas,293.3,Único,Dourado,False,5,PIX,112.02,5,5
ORDER_0206,2022-03-06,CUST_0384,Vestidos,Festa,528.07,P,Preto,False,5,PIX,242.03,6,6
ORDER_0207,2022-03-06,CUST_0216,Saias,Mini,137.76,M,Rosa,False,4,Credit Card,53.96,6,6
ORDER_0208,2022-03-07,CUST_0361,Vestidos,Casual,142.17,M,Azul,False,4,Debit Card,63.98,0,7
ORDER_0209,2022-03-08,CUST_0324,Acessórios,Bolsas,240.55,Único,Prata,True,2,PIX,132.3,1,8
ORDER_0210,2022-03-10,CUST_0015,Vestidos,Casual,129.0,G,Azul,False,3,Boleto,58.05,3,10
ORDER_0211,2022-03-10,CUST_0217,Vestidos,Casual,189.97,M,Azul,False,3,Debit Card,85.49,3,10
ORDER_0212,2022-03-10,CUST_0492,Blusas,Social,145.88,G,Azul,False,3,Credit Card,70.02,3,10
ORDER_0213,2022-03-10,CUST_0439,Acessórios,Bolsas,437.46,Único,Dourado,False,3,PIX,240.6,3,10
ORDER_0214,2022-03-10,CUST_0035,Vestidos,Casual,119.96,M,Rosa,False,4,Credit Card,53.98,3,10
ORDER_0215,2022-03-11,CUST_0183,Saias,Midi,189.66,G,Rosa,False,4,Boleto,94.83,4,11
ORDER_0216,2022-03-13,CUST_0270,Vestidos,Festa,545.47,P,Rosa,False,5,Credit Card,250.01,6,13
ORDER_0217,2022-03-13,CUST_0433,Acessórios,Bijuterias,91.91,Único,Dourado,False,5,Credit Card,45.95,6,13
ORDER_0218,2022-03-13,CUST_0467,Saias,Longa,254.69,G,Azul,False,3,PIX,110.36,6,13
ORDER_0219,2022-03-14,CUST_0358,Vestidos,Festa,362.37,G,Preto,False,3,Credit Card,199.3,0,14
ORDER_0220,2022-03-14,CUST_0100,Blusas,T-shirt,51.17,GG,Rosa,False,5,PIX,21.49,0,14
ORDER_0221,2022-03-14,CUST_0007,Acessórios,Bijuterias,59.96,Único,Preto,False,4,Credit Card,35.98,0,14
ORDER_0222,2022-03-15,CUST_0030,Acessórios,Bolsas,160.77,Único,Dourado,False,3,PIX,88.42,1,15
ORDER_0223,2022-03-16,CUST_0467,Blusas,Moletom,141.71,M,Preto,False,4,PIX,63.77,2,16
ORDER_0224,2022-03-16,CUST_0305,Acessórios,Bolsas,311.63,Único,Preto,False,5,Credit Card,171.4,2,16
ORDER_0225,2022-03-16,CUST_0473,Saias,Mini,169.66,P,Preto,False,5,Debit Card,79.74,2,16
ORDER_0226,2022-03-16,CUST_0144,Blusas,T-shirt,67.07,M,Azul,False,3,Boleto,28.17,2,16
ORDER_0227,2022-03-16,CUST_0111,Acessórios,Bijuterias,66.32,Único,Prata,False,5,Debit Card,39.79,2,16
ORDER_0228,2022-03-16,CUST_0232,Calças,Social,182.92,M,Branco,False,1,Credit Card,95.12,2,16
ORDER_0229,2022-03-17,CUST_0179,Acessórios,Bolsas,311.01,Único,Preto,True,4,Boleto,171.06,3,17
ORDER_0230,2022-03-17,CUST_0072,Blusas,Moletom,116.68,GG,Rosa,False,4,Credit Card,52.51,3,17
ORDER_0231,2022-03-19,CUST_0210,Blusas,Moletom,194.11,G,Preto,False,2,Boleto,72.79,5,19
ORDER_0232,2022-03-19,CUST_0220,Saias,Mini,98.47,M,Azul,False,5,PIX,38.57,5,19
ORDER_0233,2022-03-19,CUST_0080,Calças,Social,193.97,P,Preto,False,5,Credit Card,84.05,5,19
